"","sample","batch","78.02055","452.00345","138.96337","73.53838","385.12885","237.02815","222.02744","399.33298","394.23541","428.03716","207.01423","210.06077","397.06669","315.03262","174.08419","438.14243","161.0295","173.98804","133.07219","407.14259","451.97517","167.02071","500.2254","133.06077","553.32542","170.0326","211.10945","203.05255","170.06172","324.24879","245.13234","102.09132","263.13186","386.21715","228.99584","470.9348","242.07889","370.19102","336.94224","174.9828","136.0474","144.10058"
"1","batch01_C05",1,7106.95,16898,6380.5,14949,78490,90442,30470,209710,14463,19826,495010,17150,12268,77955,40342,11152,62326,10560,8689.5,38298,5573.6,39550,5226.7,52479,7251.6,4539400,15105,6057400,20296,63988,11540,45810,106590,33462,22517,22544,641070,29233,26110,12022,185000,8719.9
"2","batch01_S07",1,9164.8,34420,4990.5,33159,44919,61791,19561,138080,27434,18834,712150,8838.57,22411,84668,21972,28743,52451,13705,4233.8,14632,38476,74431,3931.1,34823,9610.9,4221100,12723,3094300,32429,63236,9090.3,33451,45794,11749,18727,28833,839920,15853,29739,22575,158640,8283.1
"3","batch01_C10",1,16760,26748,5550.6,30454,56948,96297,34299,137660,22518,22538,1111200,9201.52,20334,69725,18008,20689,69292,7640.7,3401.7,25238,13465,102490,2103.2,33267,7447.7,4090000,11591,4336500,39106,53585,11306,32783,35937,30021,19172,41116,491390,28144,25090,10229,172140,11563
"4","batch01_S01",1,9922.4,21440,5608.4,40598,44319,103020,21290,185620,23453,17499,430210,8356.3,27004,81665,41207,18090,46269,16430,5928.9,8158.7,37282,57971,4016.1,22745,5596.9,3483400,15792,2403800,26346,78525,12301,36521,67631,158000,14424,16724,816720,74834,32899,22176,129020,8478.9
"5","batch01_C03",1,17853,33865,6974.3,24068,47684,98519,28552,135960,25924,24771,587190,8776.7,23688,21086,29558,19778,56325,17284,4111,10193,27684,51873,1989.5,46760,5066.9,3271500,15359,2558800,22071,63500,9461.2,38301,75043,196500,26408,33694,957040,67125,7807.9,24043,133900,9101.7
"6","batch01_S05",1,7495,13152,8560.6,30021,44787,85648,21580,176640,9235.7,21111,483810,11935,24014,101210,26601,20612,79116,19125,6104.6,19873,28495,61555,4354.6,40249,3405.3,4680400,17048,3886100,32088,55815,18379,50658,81782,118750,18880,13984,612830,70616,35453,25315,176590,11625
"7","batch01_C07",1,18793,18691,7908.5,19279,62213,85120,32878,138170,17411,28631,679850,11147,9521.7,27008,26309,9877,85885,12271,6646.2,14576,15678,59076,2184.2,75671,6585.1,4043800,16366,3668900,27349,62397,11590,29597,51795,149496.8,21461,27427,513590,62122.5,10494,20599,188310,10474
"8","batch01_S06",1,9002.3,23453,8480.9,22759,53348,173430,35638,157880,39385,16738,360410,4920.7,34406,56135,32373,13525,48842,14163,8304.7,10715,27492,45255,3879.8,54015,11356,3617600,15388,1792700,21122,71405,15548,36311,77272,28564,24791,9146.6,638740,31748,19014,21549,166960,10589
"9","batch01_C08",1,11910,29544,7281.4,16693,60310,163630,41049,140600,32974,23052,551310,11856,28075,57356,22393,7304.3,80822,11880,5376.6,17779,19627,46073,5012.7,63954,11343,3288500,13872,2900700,20880,72627,12015,23476,37479,99396,22017,23105,700800,42882,23171,15755,156900,9466.1
"10","batch01_C06",1,16325,20569,6422.1,12201,58945,79178,30071,176920,19869,26307,398090,10854,15969,51106,27229,11752,72727,13472,4076.2,23003,17278,42958,3750.9,38490,8436.8,4091900,15616,3454300,15902,75790,14602,29724,84930,132340,21117,21051,595440,55369,22141,23701,144700,10639
"11","batch01_S02",1,7042.1,17659,7111.2,22376,42025,98391,26162,224330,24933,21417,666240,11827,21728,70990,24241,20269,53955,18138,7824.3,14081,28050,59932,4673.6,39670,6576.4,5750600,11789,3802000,28844,68929,16153,33437,71372,28513,22450,20574,449090,24231,24064,23951,207310,8619.5
"12","batch01_S09",1,8023.1,26118,7016.7,19190,47903,118480,25803,170470,26054,15663,420070,9678.6,44806,71282,28006,20018,41909,11907,6297.1,8952.9,35245,39936,6791.25555555556,37711,6223.5,2987300,20396,1497200,21532,77967,12420,29466,54749,137030,16180,10016,741680,56205,19934,18706,164670,9176.7
"13","batch01_S04",1,11470,38006,6364.8,31314,41417,77957,18542,215250,15962,20396,735680,7714.7,25934,68948,29005,27844,47730,13868,7734.7,12417,28204,65043,3458.4,33468,4273.9,4450300,15506,4222900,30554,69459,12958,40242,66996,94663,19577,23642,567610,43631,24191,22621,193670,8492.3
"14","batch01_C04",1,14808,31521,7302.8,28785,37924,121490,31861,158860,23425,22588,804260,8687.9,25784,20019,21197,24426,34504,16481,7277.5,11649,12593,60790,3713.1,40908,7879.5,3851900,13589,3773500,34489,57193,18010,44312,60906,258210,27367,35536,500270,83516,7110.9,22383,183090,11924
"15","batch01_S10",1,9708.56666666667,26982,5695.7,22648,38863,81244,21389,207060,21742,16448,555450,7479.5,23363,98710,27434,20513,53111,18952,8044.4,12562,32541,56265,5101.8,29306,4807.6,5362500,15476,3562200,24018,75557,18913,33872,88386,143240,17219,13964,462630,63885,33730,23318,232500,6351
"16","batch01_C09",1,9663.5,17127,8794.8,15905,88240,100420,17719,150850,20461,21246,559660,8546.9,9216.4,47326,20907,11497,88089,11535.8,6456.9,24940,18997,43509,7769.2,37927,8298.2,3054000,15616,6654600,24276,68231,13211,30146,63517,121340,23259,18589,445030,54360,17401,16722.4,173950,10004
"17","batch02_C05",1,7106.95,21558,6977.6,16081,68420,95809,29073,220030,12882,19842,560600,17213,10572,65292,40394,10176,61705,8776.5,8198.6,36780,6646.4,45925,8493.5,52724,8658.5,5257700,14603,6221900,23258,60398,28613,55298,107820,97997,24798,19288,692160,45503,29588,15925,233700,10360
"18","batch02_S03",1,10655,22947,7284,28522,37928,112600,18311,170090,17884,21334,491510,11551,32491,90088,27410,23830,58114,17257,7292.5,9100.2,30294,48547,4707.2,26873,5908.6,3415700,18734,3827300,29270,66129,12664,44374,70725,210980,22089,13875,735270,74022,27759,28384,155240,10076
"19","batch02_S07",1,7562.4,40839,5831.6,36987,57172,68024,23185,206410,29504,24515,566740,9570.6,28360,67719,28375,28544,29144,9852.8,7791.8,17028,35649,61671,5295,30058,10348,3346600,18148,2608000,29479,75693,14526,34458,61438,77017,14964,23708,671920,45833,29185,18387,142420,8309.7
"20","batch02_C01",1,74655,32622,7089.2,23453,71305,106090,37303,121810,25320,24983,947240,7989.96666666667,20739,59929.25,30738,19558,47190,9774.6,6447.8,4596.1,34630,63795,4873.0125,30709,8728.1,3855500,11189,2781800,37296,78666,12717,40848,87338,13105,19253,58788,659430,12314,19960.16,16914,175860,8307.8
"21","batch02_C10",1,16141,21703,5883.7,33383,59312,129080,36549,143330,18156,23884,1079600,7886.8,21699,48527,14623,17921,63587,4996.7,7209.3,25759,14263,91396,3357.1,34671,8176,3694500,10924,4348000,40642,68271,9626.5,25693,36687,14284,21921,38676,563500,15830,25443,8817,157750,11049
"22","batch02_S01",1,13369,26942,6025,33264,46782,99737,18452,151270,24811,17379,546860,9738.7,30642,80029,35839,19467,53223,15636,7716.5,13831,36495,59910,5434.1,20227,7806.9,3564300,13777,2538200,26602,75466,10813,35363,57195,27148,16999,19171,959530,23215,30000,22385,131450,8394.2
"23","batch02_C03",1,21633,39091,7974.8,25176,52746,74145,23766,138860,20673,20352,653110,6567.4,19976,17933,29517,20083,63674,19044,5434.5,9183.4,26395,55469,3756.9,48461,5529.5,3346300,16227,2636200,27313,61293,10891,37132,73072,157440,23934,31452,855690,48500,7526.7,26726,139510,8832.8
"24","batch02_S05",1,10687,20550,5968.7,29744,38578,67693,16638,156100,13419,15344,474210,11291,20816,89962,27660,19957,49877,15007,8052.5,17561,30459,59290,4754.1,28284,8284.9,4071200,17958,3353300,26975,65156,14462,39246,64621,115360,18840,20183,773630,49495,34502,22200,159130,9437.2
"25","batch02_C07",1,21005,15213,6555.8,23676,59026,79317,33325,123750,15466,26387,767750,9847.7,6650.3,17979,29271,18119,49750,11903,5352.7,17664,15235,66676,5528.5,79598,5433.8,3071700,16002,4323900,28880,63017,12776,25463,66115,266280,21050,26711,558020,86758,11420,21968,142890,10993
